total electricity,total heat,,,,,,
0.504200884,2.428951775,,,,,,
0.613786422,2.445511913,,,,,,
0.83301636,2.931626644,,,,,,
0.938139257,2.453958264,,,,,,
0.914771282,2.268553133,,,,,,
0.850092989,2.167731441,,,,,,
0.781213041,2.108424681,,,,,,
0.646017317,2.078785776,,,,,,
0.511449089,2.091726342,,,,,,
0.380693588,2.107339331,,,,,,
0.330563021,2.161300648,,,,,,
0.311243339,2.196750742,,,,,,
0.305604873,2.217649538,,,,,,
0.305329764,2.265552755,,,,,,
0.328997404,2.407277608,,,,,,
0.421146842,2.605998606,,,,,,
0.559089673,2.784636001,,,,,,
0.542504915,2.567999346,,,,,,
0.479826771,2.479812434,,,,,,
0.493710911,2.724108822,,,,,,
0.4869034,2.256949657,,,,,,
0.472933411,2.078617867,,,,,,
0.454772612,1.904849712,,,,,,
0.449839368,1.790753845,,,,,,
0.479576926,1.806032898,,,,,,
0.587233564,1.773796921,,,,,,
0.801155249,2.125619913,,,,,,
0.907800009,1.686500517,,,,,,
0.885477096,1.527525849,,,,,,
0.822451577,1.46851034,,,,,,
0.755658731,1.461993558,,,,,,
0.622877006,1.493391567,,,,,,
0.490162853,1.553213213,,,,,,
0.358508162,1.616202398,,,,,,
0.311864228,1.730930744,,,,,,
0.29652391,1.85228361,,,,,,
0.295057474,1.963492487,,,,,,
0.299580161,2.144669497,,,,,,
0.329615004,2.450345771,,,,,,
0.439081937,3.13748186,,,,,,
0.5692348,3.234880001,,,,,,
0.543814826,2.927512475,,,,,,
0.473340512,2.798738962,,,,,,
0.490772195,3.211951595,,,,,,
0.479213222,2.652153762,,,,,,
0.465007624,2.417088946,,,,,,
0.447300481,2.208816384,,,,,,
0.44591015,2.133646964,,,,,,
0.47482117,2.103248446,,,,,,
0.582318188,2.046825271,,,,,,
0.800500743,2.492566194,,,,,,
0.905544922,1.988016202,,,,,,
0.882581326,1.805621113,,,,,,
0.819173623,1.747189098,,,,,,
0.752232733,1.755278079,,,,,,
0.623245285,1.805071658,,,,,,
0.497042349,1.890481129,,,,,,
0.373109771,1.985704579,,,,,,
0.325645777,2.079671814,,,,,,
0.308530985,2.156116269,,,,,,
0.304821784,2.210584508,,,,,,
0.3055581,2.295918885,,,,,,
0.329673397,2.451871252,,,,,,
0.419623627,2.645278456,,,,,,
0.55679292,2.920248772,,,,,,
0.535966499,2.729181655,,,,,,
0.467997163,2.663670852,,,,,,
0.476026058,2.838976367,,,,,,
0.46133898,2.200020329,,,,,,
0.438179718,1.738401225,,,,,,
0.425306924,1.652451687,,,,,,
